Index,Traffic_Received,Traffic_Predicted
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,1
17,1,0
18,1,0
19,7,0
20,5,3
21,7,4
22,3,4
23,1,2
24,1,1
25,1,1
26,1,1
27,1,0
28,1,1
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,8,0
41,2,4
42,1,2
43,1,2
44,1,2
45,2,1
46,7,2
47,8,5
48,1,4
49,1,1
50,3,1
51,1,2
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,4,0
62,7,2
63,1,4
64,6,2
65,2,4
66,2,2
67,2,2
68,3,2
69,2,2
70,3,2
71,5,2
72,2,4
73,1,2
74,1,1
75,1,1
76,1,1
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,5,0
95,1,2
96,1,1
97,1,1
98,1,1
99,2,1
100,3,1
101,2,2
102,5,2
103,1,4
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,0
110,1,0
111,4,0
112,1,2
113,2,1
114,1,2
115,1,1
116,1,1
117,1,0
118,1,0
119,3,0
120,2,2
121,1,2
122,1,1
123,7,1
124,2,3
125,6,2
126,2,4
127,3,2
128,3,2
129,5,2
130,8,4
131,12,6
132,4,5
133,1,3
134,1,1
135,1,1
136,1,1
137,1,1
138,3,1
139,1,2
140,1,1
141,1,1
142,1,1
143,1,1
144,3,1
145,6,2
146,2,4
147,2,2
148,3,2
149,1,3
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,2,1
157,1,2
158,1,1
159,1,1
160,1,1
161,1,1
162,2,1
163,1,2
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,121,1
176,13,5
177,4,5
178,1,3
179,17,1
180,1,6
181,1,1
182,1,1
183,1,1
184,9,1
185,1,5
186,2,1
187,1,2
188,5,1
189,13,5
190,1,6
191,1,2
192,1,2
193,3,2
194,1,3
195,1,1
196,1,1
197,1,1
198,1,2
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,9,1
