Index,Traffic_Received,Traffic_Predicted
0,5,1
1,13,5
2,14,16
3,13,18
4,18,14
5,11,19
6,6,10
7,6,6
8,11,6
9,7,9
10,19,6
11,16,15
12,15,15
13,23,14
14,24,25
15,30,25
16,35,34
17,26,36
18,20,21
19,24,17
20,20,24
21,27,19
22,19,29
23,16,15
24,19,13
25,16,18
26,20,15
27,19,20
28,13,19
29,15,11
30,10,14
31,10,9
32,10,10
33,13,10
34,5,13
35,4,6
36,20,5
37,23,15
38,23,24
39,21,24
40,15,21
41,11,12
42,7,9
43,5,6
44,5,6
45,9,5
46,9,8
47,16,9
48,23,14
49,25,25
50,29,27
51,37,31
52,32,38
53,25,30
54,22,22
55,22,20
56,21,21
57,25,21
58,20,27
59,24,18
60,20,24
61,22,19
62,21,22
63,21,21
64,8,21
65,6,5
66,6,5
67,16,5
68,7,11
69,6,6
70,8,6
71,11,8
72,12,10
73,16,11
74,9,15
75,9,8
76,18,9
77,18,16
78,6,18
79,3,5
80,2,4
81,43,3
82,11,21
83,6,6
84,18,4
85,22,12
86,26,22
87,27,28
88,22,27
89,21,20
90,23,20
91,21,23
92,25,20
93,22,26
94,23,21
95,23,23
96,23,24
97,18,23
98,20,16
99,18,19
100,19,17
101,14,19
102,7,12
103,15,6
104,15,13
105,9,14
106,10,9
107,14,10
108,10,13
109,12,10
110,15,12
111,6,14
112,7,6
113,5,8
114,9,6
115,10,8
116,16,9
117,23,14
118,26,25
119,27,29
120,31,27
121,28,33
122,25,25
123,19,24
124,19,16
125,18,17
126,29,17
127,17,34
128,17,11
129,17,14
130,16,15
131,15,15
132,15,14
133,13,14
134,11,12
135,6,11
136,6,7
137,13,7
138,14,12
139,11,14
140,11,11
141,4,11
142,9,6
143,21,9
144,24,18
145,19,27
146,21,17
147,9,21
148,8,5
149,21,6
150,15,16
151,15,13
152,24,14
153,26,27
154,27,28
155,24,28
156,30,22
157,32,33
158,21,32
159,25,15
160,20,25
161,21,18
162,24,21
163,18,25
164,21,16
165,22,20
166,17,23
167,22,15
168,22,22
169,19,22
170,12,18
171,11,9
172,16,9
173,7,14
174,10,7
175,10,10
176,11,10
177,10,11
178,7,10
179,11,8
180,19,10
181,17,18
182,18,17
183,9,18
184,6,7
185,13,6
186,7,11
187,10,7
188,16,9
189,24,14
190,26,27
191,25,28
192,30,24
193,31,33
194,27,31
195,21,24
196,18,18
197,24,15
198,20,25
199,21,19
200,18,21
201,12,16
202,18,9
203,14,16
204,20,13
205,21,20
206,11,22
207,5,8
208,7,5
209,9,7
210,8,8
211,13,8
212,7,12
213,12,7
214,16,11
215,17,15
216,16,17
217,16,16
218,19,15
219,9,19
220,9,7
221,8,8
222,8,8
223,7,8
224,10,8
225,21,10
226,18,20
227,22,18
228,21,24
229,30,21
230,28,35
231,26,26
232,26,25
233,24,26
234,20,23
235,40,19
236,20,38
237,22,12
238,15,20
239,21,12
240,17,20
241,16,16
242,7,15
243,9,6
244,7,8
245,10,7
246,8,9
247,4,8
248,5,5
249,6,6
250,4,6
251,7,5
252,11,6
253,17,9
254,22,15
255,18,24
256,17,18
257,15,15
258,11,13
259,6,9
260,15,6
261,18,13
262,17,18
263,11,17
264,20,10
265,19,19
266,22,20
267,21,24
268,20,21
269,28,19
270,35,32
271,30,38
272,25,27
273,20,23
274,21,17
275,27,20
276,15,30
277,24,10
278,26,22
279,23,27
280,23,21
281,28,23
282,17,31
283,19,12
284,15,17
285,17,13
286,9,15
287,7,7
288,4,7
289,5,5
290,10,6
291,10,9
292,6,10
293,7,7
294,15,8
295,14,12
296,16,13
297,17,16
298,11,17
299,11,9
300,7,11
301,5,7
302,9,6
303,11,8
304,9,10
305,7,9
306,15,8
307,5,13
308,10,6
309,11,9
310,18,10
311,10,16
312,11,9
313,11,10
314,15,10
315,12,14
316,19,12
317,13,19
318,5,12
319,9,6
320,9,8
321,8,9
322,13,8
323,15,12
324,15,15
325,12,15
326,19,11
327,13,19
328,3,11
329,6,4
330,1,6
331,12,3
332,10,8
333,14,8
334,11,12
335,11,10
336,17,10
337,15,17
338,8,14
339,6,8
340,9,6
341,11,8
342,15,10
343,12,14
344,8,11
345,8,8
346,13,8
347,15,12
348,10,15
349,6,9
350,19,7
351,36,16
352,10,38
353,13,1
354,8,5
355,10,4
356,11,7
357,17,8
358,15,14
359,13,14
360,7,12
361,12,7
362,14,11
363,18,13
364,14,18
365,17,13
366,12,17
367,11,11
368,12,10
369,22,11
370,28,23
371,30,33
372,25,30
373,22,22
374,22,20
375,23,21
376,25,23
377,24,26
378,24,24
379,25,24
380,25,25
381,28,25
382,21,30
383,18,17
384,20,16
385,19,19
386,7,18
387,9,5
388,9,7
389,12,8
390,19,10
391,5,18
392,14,5
393,4,10
394,15,4
395,19,10
396,14,17
397,16,13
398,9,15
399,5,8
400,9,6
401,11,8
402,21,11
403,22,20
404,5,25
405,4,3
406,15,2
407,18,7
408,23,13
409,14,23
410,15,11
411,14,13
412,21,13
413,17,21
414,24,16
415,12,26
416,9,8
417,9,6
418,2,8
419,9,4
420,15,7
421,11,12
422,16,10
423,18,15
424,13,18
425,16,11
426,23,15
427,22,26
428,24,22
429,29,25
430,22,32
431,17,17
432,28,14
433,22,30
434,29,19
435,28,32
436,28,27
437,24,28
438,26,22
439,25,27
440,19,24
441,21,16
442,20,20
443,19,19
444,8,19
445,6,5
446,4,6
447,7,5
448,10,7
449,22,9
450,13,19
451,7,12
452,10,7
453,12,9
454,14,11
455,13,14
456,12,12
457,8,11
458,8,9
459,11,9
460,5,10
461,10,6
462,6,9
463,11,7
464,14,10
465,13,13
466,24,12
467,21,26
468,27,21
469,29,30
470,20,30
471,20,15
472,20,18
473,14,19
474,8,11
475,23,7
476,21,20
477,29,22
478,27,33
479,24,25
480,22,22
481,24,21
482,15,24
483,17,11
484,15,15
485,11,13
486,11,9
487,7,11
488,5,8
489,9,6
490,10,9
491,8,10
492,12,9
493,17,11
494,10,17
495,11,9
496,17,10
497,6,16
498,7,6
499,9,7
500,14,8
501,5,12
502,15,6
503,19,12
504,15,18
505,15,14
506,14,14
507,13,13
508,21,12
509,24,22
510,26,27
511,29,28
512,26,31
513,18,24
514,25,14
515,10,25
516,24,5
517,24,18
518,26,24
519,28,27
520,28,29
521,18,28
522,20,13
523,16,18
524,15,14
525,10,13
526,6,8
527,6,6
528,5,7
529,9,6
530,20,9
531,5,17
532,6,5
533,13,6
534,16,10
535,11,15
536,15,10
537,10,14
538,7,9
539,14,8
540,14,12
541,13,13
542,20,13
543,21,21
544,19,23
545,21,19
546,23,22
547,27,23
548,21,29
549,22,18
550,22,21
551,22,22
552,28,22
553,26,31
554,25,25
555,26,25
556,26,26
557,21,26
558,20,19
559,20,19
560,17,19
561,11,16
562,7,9
563,11,7
564,6,10
565,15,7
566,8,13
567,7,8
568,8,8
569,13,8
570,9,11
571,14,9
572,18,13
573,7,18
574,10,6
575,13,9
576,22,11
577,19,22
578,19,19
579,22,19
580,21,23
581,24,21
582,26,25
583,20,27
584,25,17
585,16,26
586,24,12
587,13,24
588,21,9
589,28,19
590,25,32
591,24,23
592,21,24
593,21,20
594,19,20
595,17,18
596,15,15
597,13,13
598,8,12
599,5,8
600,5,6
601,8,6
602,6,8
603,13,7
604,8,12
605,11,8
606,16,11
607,14,15
608,15,14
609,19,14
610,5,20
611,1,4
612,1,2
613,8,1
614,16,5
615,14,11
616,16,12
617,21,15
618,18,22
619,16,19
620,23,15
621,20,24
622,22,20
623,10,22
624,8,6
625,5,6
626,11,5
627,18,9
628,23,15
629,27,25
630,27,30
631,35,27
632,89,38
633,22,38
634,13,16
635,11,8
636,10,7
637,9,8
638,1,8
639,48,1
640,1,16
641,1,1
642,4,0
643,4,2
644,7,2
645,17,3
646,30,9
647,14,29
648,17,9
649,24,15
650,26,25
651,32,27
652,29,36
653,30,26
654,16,31
655,16,9
656,27,12
657,24,28
658,16,23
659,25,12
660,17,25
661,21,14
662,14,20
663,19,11
664,15,17
665,9,14
666,7,8
667,8,8
668,9,8
669,8,9
670,12,9
671,22,11
672,21,21
673,17,22
674,14,16
675,9,12
676,9,8
677,8,9
678,15,8
679,23,13
680,20,25
681,24,20
682,33,25
683,28,38
684,22,24
685,14,19
686,24,10
687,24,23
688,23,24
689,22,23
690,15,21
691,19,12
692,16,18
693,18,14
694,10,17
695,5,8
696,8,6
697,8,8
698,10,8
699,13,10
700,7,12
701,7,8
702,18,8
703,22,16
704,1,24
705,38,1
706,9,13
707,4,4
708,7,3
709,12,4
710,13,8
711,23,11
712,26,22
713,22,29
714,22,20
715,29,21
716,32,33
717,30,33
718,23,29
719,27,19
720,17,28
721,22,12
722,22,21
723,26,22
724,30,28
725,17,33
726,21,10
727,18,19
728,16,16
729,12,14
730,9,10
731,7,8
732,5,8
733,5,7
734,5,6
735,9,6
736,10,9
737,9,10
738,7,9
739,5,8
740,12,6
741,11,10
742,6,10
743,9,6
744,13,8
745,14,11
746,8,13
747,7,8
748,9,8
749,22,9
750,8,20
751,14,6
752,13,11
753,10,11
754,11,9
755,22,10
756,17,21
757,18,17
758,7,18
759,6,5
760,11,6
761,18,9
762,15,16
763,14,14
764,18,14
765,8,18
766,8,7
767,15,7
768,24,12
769,17,25
770,19,15
771,21,18
772,16,22
773,15,14
774,14,13
775,9,12
776,13,8
777,14,12
778,8,14
779,6,8
780,12,7
781,18,11
782,19,18
783,17,20
784,16,17
785,17,15
786,17,16
787,24,16
788,25,26
789,23,27
790,23,22
791,32,23
792,40,37
793,24,38
794,25,18
795,26,25
796,21,27
797,18,19
798,16,16
799,15,14
800,9,14
801,8,7
802,15,8
803,12,13
804,18,12
805,7,18
806,6,6
807,6,6
808,18,7
809,9,14
810,9,8
811,11,9
812,10,10
813,16,10
814,14,15
815,15,13
816,15,15
817,7,15
818,10,7
819,5,10
820,8,6
821,7,8
822,7,7
823,7,7
824,15,8
825,15,13
826,6,15
827,18,6
828,27,14
829,22,30
830,23,20
831,32,23
832,29,37
833,31,26
834,22,33
835,14,16
836,25,9
837,20,24
838,30,18
839,24,34
840,23,20
841,19,22
842,16,17
