epoch,step,min,max,mean,std
1,100,-31.798641204833984,-31.798641204833984,-31.798641204833984,0.0
2,200,-113.91732788085938,-113.91732788085938,-113.91732788085938,0.0
3,300,-142.94577026367188,-142.94577026367188,-142.94577026367188,0.0
4,400,-173.5129852294922,-173.5129852294922,-173.5129852294922,0.0
5,500,-205.35000610351562,-205.35000610351562,-205.35000610351562,0.0
6,600,-231.2025909423828,-231.2025909423828,-231.2025909423828,0.0
7,700,-248.3008575439453,-248.3008575439453,-248.3008575439453,0.0
8,800,-263.0560607910156,-263.0560607910156,-263.0560607910156,0.0
9,900,-273.0524597167969,-273.0524597167969,-273.0524597167969,0.0
10,1000,-280.2068176269531,-280.2068176269531,-280.2068176269531,0.0
11,1100,-286.0699462890625,-286.0699462890625,-286.0699462890625,0.0
12,1200,-289.6780700683594,-289.6780700683594,-289.6780700683594,0.0
13,1300,-294.59228515625,-294.59228515625,-294.59228515625,0.0
14,1400,-296.3388977050781,-296.3388977050781,-296.3388977050781,0.0
15,1500,-300.1965637207031,-300.1965637207031,-300.1965637207031,0.0
16,1600,-301.3423767089844,-301.3423767089844,-301.3423767089844,0.0
17,1700,-301.42352294921875,-301.42352294921875,-301.42352294921875,0.0
18,1800,-302.49127197265625,-302.49127197265625,-302.49127197265625,0.0
19,1900,-302.361328125,-302.361328125,-302.361328125,0.0
20,2000,-301.760986328125,-301.760986328125,-301.760986328125,0.0
21,2100,-303.06463623046875,-303.06463623046875,-303.06463623046875,0.0
22,2200,-299.3954772949219,-299.3954772949219,-299.3954772949219,0.0
23,2300,-301.50213623046875,-301.50213623046875,-301.50213623046875,0.0
24,2400,-301.31927490234375,-301.31927490234375,-301.31927490234375,0.0
25,2500,-296.90289306640625,-296.90289306640625,-296.90289306640625,0.0
26,2600,-295.81378173828125,-295.81378173828125,-295.81378173828125,0.0
27,2700,-296.71722412109375,-296.71722412109375,-296.71722412109375,0.0
28,2800,-297.1912841796875,-297.1912841796875,-297.1912841796875,0.0
29,2900,-294.11822509765625,-294.11822509765625,-294.11822509765625,0.0
30,3000,-293.58966064453125,-293.58966064453125,-293.58966064453125,0.0
31,3100,-291.4961242675781,-291.4961242675781,-291.4961242675781,0.0
32,3200,-285.28729248046875,-285.28729248046875,-285.28729248046875,0.0
33,3300,-285.53668212890625,-285.53668212890625,-285.53668212890625,0.0
34,3400,-282.3164978027344,-282.3164978027344,-282.3164978027344,0.0
35,3500,-281.39263916015625,-281.39263916015625,-281.39263916015625,0.0
36,3600,-280.3178405761719,-280.3178405761719,-280.3178405761719,0.0
37,3700,-278.7417297363281,-278.7417297363281,-278.7417297363281,0.0
38,3800,-275.4703063964844,-275.4703063964844,-275.4703063964844,0.0
39,3900,-273.0625915527344,-273.0625915527344,-273.0625915527344,0.0
40,4000,-271.11376953125,-271.11376953125,-271.11376953125,0.0
41,4100,-270.6408386230469,-270.6408386230469,-270.6408386230469,0.0
42,4200,-269.7619934082031,-269.7619934082031,-269.7619934082031,0.0
43,4300,-266.3621826171875,-266.3621826171875,-266.3621826171875,0.0
44,4400,-263.86138916015625,-263.86138916015625,-263.86138916015625,0.0
45,4500,-262.8169860839844,-262.8169860839844,-262.8169860839844,0.0
46,4600,-260.7095947265625,-260.7095947265625,-260.7095947265625,0.0
47,4700,-259.25994873046875,-259.25994873046875,-259.25994873046875,0.0
48,4800,-255.6515655517578,-255.6515655517578,-255.6515655517578,0.0
49,4900,-254.3589630126953,-254.3589630126953,-254.3589630126953,0.0
50,5000,-253.90966796875,-253.90966796875,-253.90966796875,0.0
