epoch,step,min,max,mean,std
1,100,-0.291899174451828,0.0048062545247375965,-0.12974289059638977,0.08799437433481216
2,200,-0.049845896661281586,0.008730764500796795,-0.01676194742321968,0.01240359153598547
3,300,-0.05717174708843231,0.018114984035491943,0.0016518584452569485,0.0061393557116389275
4,400,-0.04948025941848755,0.06509637087583542,-0.012316630221903324,0.012041939422488213
5,500,-0.13229914009571075,0.25189512968063354,-0.021229948848485947,0.04610378295183182
6,600,-1.3733062744140625,0.40259894728660583,0.017422780394554138,0.31978312134742737
7,700,-1.1410647630691528,0.4004446566104889,-0.000690994318574667,0.27931535243988037
8,800,-1.2702311277389526,0.49904513359069824,0.008554799482226372,0.30994167923927307
9,900,-0.28932517766952515,0.5743204951286316,-0.009018635377287865,0.1254916787147522
10,1000,-0.740453839302063,1.5522353649139404,-0.027307651937007904,0.36655518412590027
11,1100,-0.6304395794868469,0.7544092535972595,-0.01927151158452034,0.22367815673351288
12,1200,-1.1330816745758057,0.7479549646377563,0.016023991629481316,0.30655011534690857
13,1300,-0.518150806427002,0.41919273138046265,-0.007025167811661959,0.13706618547439575
14,1400,-0.5997318029403687,0.8275854587554932,0.017427681013941765,0.22141169011592865
15,1500,-1.0925161838531494,1.653050184249878,-0.016514364629983902,0.3988793194293976
16,1600,-1.364760160446167,0.9915552735328674,0.03232307732105255,0.39128461480140686
17,1700,-0.8028165102005005,0.9371209740638733,-0.006222471594810486,0.2783180773258209
18,1800,-0.9070674777030945,1.2705575227737427,-0.047365859150886536,0.3412073850631714
19,1900,-1.1828835010528564,1.3230732679367065,0.0565502792596817,0.36101236939430237
20,2000,-1.541215419769287,3.062714099884033,-0.10841738432645798,0.8420721888542175
21,2100,-2.0850558280944824,2.1189608573913574,-0.05705995112657547,0.6849856376647949
22,2200,-1.2918341159820557,1.1285120248794556,-0.03117995336651802,0.3457660377025604
23,2300,-1.9241141080856323,1.5014865398406982,-0.01892770081758499,0.5958744287490845
24,2400,-1.9331207275390625,2.1179745197296143,-0.0827198401093483,0.517044186592102
25,2500,-2.521440029144287,1.796315312385559,0.05140604451298714,0.7524617910385132
26,2600,-2.5335240364074707,2.1151623725891113,0.033403586596250534,0.6026011109352112
27,2700,-5.201502799987793,3.4797589778900146,0.24034038186073303,1.4804850816726685
28,2800,-1.289027214050293,2.402682065963745,-0.05314163491129875,0.5104336738586426
29,2900,-2.1665921211242676,2.047305107116699,0.11805704236030579,0.593227207660675
30,3000,-1.7880699634552002,1.8460066318511963,-0.09876217693090439,0.6258779764175415
31,3100,-2.1907758712768555,3.4429707527160645,-0.09890888631343842,0.9543753862380981
32,3200,-1.6442642211914062,2.3675155639648438,-0.03535237908363342,0.6755368709564209
33,3300,-3.3808555603027344,3.8156027793884277,-0.1836247593164444,1.2032848596572876
34,3400,-2.094032049179077,2.626816749572754,-0.03666948154568672,0.7369412183761597
35,3500,-2.4850780963897705,1.8297256231307983,-0.02479226514697075,0.5276555418968201
36,3600,-2.9188485145568848,2.401167154312134,0.0624191090464592,0.8059409856796265
37,3700,-3.0154311656951904,3.0785789489746094,0.08088060468435287,0.8814380764961243
38,3800,-5.767006874084473,3.622030019760132,0.11003559082746506,1.629734754562378
39,3900,-8.141878128051758,10.428176879882812,-0.48872289061546326,3.3443100452423096
40,4000,-4.44390344619751,4.6682257652282715,-0.1209661066532135,1.5149930715560913
41,4100,-5.48344087600708,3.607264280319214,0.2018355429172516,1.474489688873291
42,4200,-4.349180221557617,6.16037654876709,-0.16558781266212463,1.7397454977035522
43,4300,-4.479825019836426,5.119320392608643,0.0596492774784565,1.6558892726898193
44,4400,-6.72552490234375,5.546889305114746,0.3012389838695526,2.0643982887268066
45,4500,-5.2693190574646,4.537243366241455,0.1468719244003296,1.3657336235046387
46,4600,-2.122166633605957,2.9753377437591553,-0.052767399698495865,0.8293941020965576
47,4700,-3.2168149948120117,3.553380250930786,0.00021602585911750793,0.7677608728408813
48,4800,-3.9103498458862305,6.270586013793945,-0.14410091936588287,1.5490542650222778
49,4900,-5.325798988342285,5.890111923217773,-0.04820679500699043,1.635495662689209
50,5000,-2.89829683303833,3.2948179244995117,0.02193634584546089,0.8934956789016724
