epoch,step,min,max,mean,std
1,100,-0.05832751467823982,2.5234163331333548e-05,-0.0192403681576252,0.01949177123606205
2,200,-0.017839863896369934,5.178198080102447e-06,-0.007168419659137726,0.006361469626426697
3,300,-0.007464355789124966,3.832032234640792e-06,-0.0021980544552206993,0.0018882261356338859
4,400,-0.006390088237822056,8.109923328447621e-06,-0.0013012350536882877,0.0012734989868476987
5,500,-0.0033335706684738398,1.1489979812040474e-07,-0.0007663632277399302,0.0007143663824535906
6,600,-0.0015217303298413754,9.462077343869169e-09,-0.0003517073637340218,0.0003285348357167095
7,700,-0.0007381794275715947,8.276723661992946e-08,-0.0001720440632198006,0.0001610004110261798
8,800,-0.0004762903554365039,1.3075750260327368e-08,-0.0001126921852119267,0.0001052007864927873
9,900,-0.0003367325698491186,1.1885047612736344e-08,-7.869452383602038e-05,7.404408097499982e-05
10,1000,-0.0002540849382057786,1.6525515178500427e-08,-6.000522989779711e-05,5.6165681598940864e-05
11,1100,-0.00019414324196986854,7.796855605590736e-09,-4.5800952648278326e-05,4.298392013879493e-05
12,1200,-0.00015371527115348727,2.15952988824597e-09,-3.6156394344288856e-05,3.400384230189957e-05
13,1300,-0.00011938021634705365,1.2430221296710897e-09,-2.823269460350275e-05,2.648884583322797e-05
14,1400,-9.69913526205346e-05,6.1246567817363484e-09,-2.311093339812942e-05,2.1645812012138776e-05
15,1500,-7.68768586567603e-05,3.924598868110252e-09,-1.8327245925320312e-05,1.7199437934323214e-05
16,1600,-6.436300463974476e-05,1.2086942557942848e-09,-1.541954043204896e-05,1.4428440408664756e-05
17,1700,-5.704830982722342e-05,2.259258335968184e-09,-1.3700346244149841e-05,1.2820929441659246e-05
18,1800,-5.400122608989477e-05,5.157277938039329e-10,-1.2896824046038091e-05,1.2118742233724333e-05
19,1900,-4.387457011034712e-05,3.3455282988370527e-10,-1.0569880942057353e-05,9.894678441924043e-06
20,2000,-4.0189963328884915e-05,3.798041603442215e-10,-9.692734238342382e-06,9.077728464035317e-06
21,2100,-3.2384930818807334e-05,5.949775117031209e-10,-7.79310994403204e-06,7.28744043954066e-06
22,2200,-2.6225488909403794e-05,1.0457148480469414e-09,-6.308597676252248e-06,5.884002348466311e-06
23,2300,-2.459057213854976e-05,2.4255170094633627e-10,-5.854339178767987e-06,5.482178039528662e-06
24,2400,-2.2852069378132e-05,7.469422858008556e-10,-5.348500508262077e-06,5.02953480463475e-06
25,2500,-1.764508124324493e-05,7.366874332781492e-10,-4.126819476368837e-06,3.8655343814753e-06
26,2600,-1.8397086023469456e-05,6.728312351711452e-10,-4.150071617914364e-06,3.95102961192606e-06
27,2700,-1.1965490557486191e-05,2.0583201809643015e-09,-2.4359344479307765e-06,2.4268408651551e-06
28,2800,-1.3595512427855283e-05,2.31261298999641e-09,-2.9201673896750435e-06,2.813392939060577e-06
29,2900,-5.005765160603914e-06,2.283609546793741e-06,-3.5231568062954466e-07,1.0532310170674464e-06
30,3000,-3.633752498899412e-07,1.9297152903163806e-05,4.823585186386481e-06,4.801530849363189e-06
31,3100,-1.8749580021903967e-06,9.894103277474642e-05,2.4837470846250653e-05,2.4430399207631126e-05
32,3200,-0.0008698987076058984,3.1179624784272164e-06,-0.00010710986680351198,0.00014135061064735055
33,3300,-3.622998337959871e-05,3.946766469198337e-08,-5.809502908959985e-06,6.520509487017989e-06
34,3400,-3.281106546637602e-05,4.826101474009192e-08,-5.300302746036323e-06,5.927631264057709e-06
35,3500,-3.0116796551737934e-05,2.15749835774659e-08,-4.895871370536042e-06,5.465501999424305e-06
36,3600,-2.77698491117917e-05,3.369733647673456e-08,-4.549766799755162e-06,5.0603453018993605e-06
37,3700,-2.2372621970134787e-05,2.3394415293864768e-08,-3.7085915209900122e-06,4.103850187675562e-06
38,3800,-2.0013329049106687e-05,1.8444435312403584e-08,-3.3659023301879643e-06,3.700554316310445e-06
39,3900,-1.632145904295612e-05,8.779348803500397e-09,-2.8029369332216447e-06,3.0492069527099375e-06
40,4000,-1.501299539086176e-05,1.6055903273581862e-08,-2.624345142976381e-06,2.830682660714956e-06
41,4100,-1.2628521290025674e-05,4.749956872274197e-09,-2.224994659627555e-06,2.393754584772978e-06
42,4200,-1.1088250175816938e-05,2.6939463992903256e-09,-1.986505139939254e-06,2.1216417280811584e-06
43,4300,-1.0031237252405845e-05,5.151494342214846e-09,-1.8197188182966784e-06,1.930499365698779e-06
44,4400,-9.552013580105267e-06,3.856327701612372e-09,-1.7361883237754228e-06,1.8448131413606461e-06
45,4500,-8.093447831925005e-06,3.6674587811091897e-09,-1.5081346873557777e-06,1.582126742505352e-06
46,4600,-6.840627975179814e-06,2.6740374359235375e-09,-1.301678594245459e-06,1.3504616163118044e-06
47,4700,-6.100049176893663e-06,2.1215784684613936e-09,-1.1729027846740792e-06,1.2116079233237542e-06
48,4800,-5.544092800846556e-06,4.975731493495061e-10,-1.0821211162692634e-06,1.1105463499916368e-06
49,4900,-4.580660970532335e-06,6.804996011133824e-10,-9.195875918521779e-07,9.287933266932669e-07
50,5000,-4.053105385537492e-06,2.317054992317935e-09,-8.275544587377226e-07,8.291659696624265e-07
