epoch,step,min,max,mean,std
1,100,-0.007124010473489761,1.9950532077928074e-05,-0.0022302602883428335,0.0022576439660042524
2,200,-0.0021436719689518213,4.6603781811427325e-06,-0.0008134014206007123,0.0007219957769848406
3,300,-0.000926029053516686,3.832032234640792e-06,-0.0002469697792548686,0.00021217975881882012
4,400,-0.0007723751477897167,7.704426934651565e-06,-0.00014536820526700467,0.00014238782750908285
5,500,-0.0003967907396145165,9.151034419119242e-07,-8.493267523590475e-05,7.913748413557187e-05
6,600,-0.00018027609621640295,8.988973121404342e-09,-3.8801925256848335e-05,3.6208381061442196e-05
7,700,-8.482865814585239e-05,8.276723661992946e-08,-1.892714135465212e-05,1.772164432622958e-05
8,800,-5.704895011149347e-05,1.2421963013764525e-08,-1.2161239283159375e-05,1.1385644938854966e-05
9,900,-3.9216036384459585e-05,9.53161904959643e-09,-8.561917638871819e-06,8.058843377511948e-06
10,1000,-2.849478187272325e-05,1.5699239241939722e-08,-6.330382348096464e-06,5.934535238338867e-06
11,1100,-2.2045373043511063e-05,6.627327575614572e-09,-4.715669092547614e-06,4.4473472371464595e-06
12,1200,-1.6646168660372496e-05,3.745489696171944e-09,-3.7156160033191554e-06,3.4989284358744044e-06
13,1300,-1.3530718206311576e-05,1.1187198944995203e-09,-2.988710775753134e-06,2.8107481284678215e-06
14,1400,-1.0740313882706687e-05,3.1978635295359936e-09,-2.4129262783390004e-06,2.259105031043873e-06
15,1500,-8.633978723082691e-06,4.31503233144781e-09,-1.9408712432777975e-06,1.8218705690742354e-06
16,1600,-7.384882337646559e-06,8.058221867557336e-10,-1.623978505449486e-06,1.524180675005482e-06
17,1700,-6.07284891884774e-06,8.326819234127925e-10,-1.412766096109408e-06,1.323003402831091e-06
18,1800,-5.82107350055594e-06,5.157277938039329e-10,-1.3137582755007315e-06,1.235261493093276e-06
19,1900,-4.740858457807917e-06,3.178251828384049e-10,-1.0561359431449091e-06,9.927146038535284e-07
20,2000,-4.1161192712024786e-06,3.4182373598312665e-10,-9.47747480495309e-07,8.876891683939903e-07
21,2100,-3.6244875900592888e-06,7.447764072132657e-10,-8.043352863751352e-07,7.53404094666621e-07
22,2200,-2.8364192985463887e-06,5.244666367865136e-10,-6.451224976444792e-07,6.018972271704115e-07
23,2300,-2.6420898393553216e-06,2.3042411034790433e-10,-6.052408707546419e-07,5.666336733156641e-07
24,2400,-2.371688424318563e-06,7.095951604085826e-10,-5.401490170697798e-07,5.078385356682702e-07
25,2500,-1.9842495930788573e-06,6.786327055863239e-10,-4.2685786638685386e-07,4.006303697678959e-07
26,2600,-1.928957772179274e-06,6.391896456570123e-10,-4.1021706920219003e-07,3.910071484369837e-07
27,2700,-1.294486992264865e-06,6.174960542892904e-10,-2.419970996925258e-07,2.42060309574299e-07
28,2800,-1.5908158275124151e-06,1.9560242314753395e-09,-3.058662798594014e-07,2.9561240921793797e-07
29,2900,-7.201620064734016e-07,3.0558112484868616e-07,-4.0513565835453846e-08,1.1607185257389574e-07
30,3000,-1.4824378524735948e-07,2.2843182705400977e-06,4.899816303804982e-07,5.031437240177183e-07
31,3100,-9.337018127553165e-07,1.2042214621033054e-05,2.660752670635702e-06,2.6539430564298527e-06
32,3200,-9.482144378125668e-05,6.172350595079479e-07,-1.1330939742038026e-05,1.4949482647352852e-05
33,3300,-3.98768770537572e-06,8.249275929017585e-09,-6.010944275658403e-07,6.756288826181844e-07
34,3400,-3.5594962355389725e-06,1.0791069371407502e-08,-5.41751830951398e-07,6.067836011425243e-07
35,3500,-3.448763891356066e-06,5.204738862119029e-09,-4.996075517738063e-07,5.598772645498684e-07
36,3600,-3.1337719974544598e-06,6.649197636932058e-09,-4.5763300704493304e-07,5.109614562570641e-07
37,3700,-2.443604444124503e-06,4.5855141905803976e-09,-3.849199288197269e-07,4.2755212348311034e-07
38,3800,-2.1421203655336285e-06,3.7139740172165148e-09,-3.423122052481631e-07,3.7726036339336133e-07
39,3900,-1.7427684042559122e-06,1.862443532729685e-09,-2.850303246759722e-07,3.1086631224752637e-07
40,4000,-1.583787252457114e-06,3.288666450274036e-09,-2.576371400664357e-07,2.786742072657944e-07
41,4100,-1.375608235321124e-06,8.817798158311518e-10,-2.2949036804220668e-07,2.475087796938169e-07
42,4200,-1.239607854586211e-06,6.87688961331645e-10,-2.0089953522983706e-07,2.151386553350676e-07
43,4300,-1.1341534218445304e-06,9.45503786375923e-10,-1.8303927618035232e-07,1.9477478474527743e-07
44,4400,-1.0320967476218357e-06,8.478706070569331e-10,-1.7582570421836863e-07,1.8736096762950183e-07
45,4500,-8.975940204436483e-07,8.285460650903076e-10,-1.5006418152552214e-07,1.5814327980478993e-07
46,4600,-7.438935085701814e-07,6.023369580887561e-10,-1.3129647413734347e-07,1.367611588420914e-07
47,4700,-6.686173037451226e-07,4.44369069318995e-10,-1.169278149859565e-07,1.2148402106504363e-07
48,4800,-6.202042754921422e-07,1.0595681276814872e-10,-1.0818336448892296e-07,1.1172667768732936e-07
49,4900,-5.152987796464004e-07,1.384227454881426e-10,-9.062175365670555e-08,9.197752603995468e-08
50,5000,-4.417564127834339e-07,5.006368097859593e-10,-8.479696589347441e-08,8.513865878967408e-08
