epoch,step,min,max,mean,std
1,100,-0.11188969016075134,0.2293022871017456,0.0817815363407135,0.08906377106904984
2,200,-0.0015693383757025003,0.05301628261804581,0.01821952871978283,0.015910597518086433
3,300,0.0007594503695145249,0.013236233033239841,0.0041565243154764175,0.003268613014370203
4,400,0.0002773264131974429,0.030778510496020317,0.003178352490067482,0.006767951417714357
5,500,-0.0009293830953538418,0.005363368429243565,0.0007204038556665182,0.0012287197168916464
6,600,-0.0004060508799739182,0.0018313624896109104,0.0002764265227597207,0.0004359240410849452
7,700,-5.2057221182622015e-05,0.0008770754211582243,0.0001353085390292108,0.000198601366719231
8,800,-9.73409041762352e-05,0.0005213645636104047,7.616059883730486e-05,0.0001236471871379763
9,900,-7.809502858435735e-05,0.0004247189499437809,5.036408401792869e-05,9.891461377264932e-05
10,1000,-7.67290621297434e-05,0.00030054093804210424,3.452507371548563e-05,7.166199793573469e-05
11,1100,-4.426071245688945e-05,0.00023969769245013595,2.6882429665420204e-05,5.5511398386443034e-05
12,1200,-3.672338789328933e-05,0.00019858285668306053,2.048689202638343e-05,4.5843858970329165e-05
13,1300,-1.7548980395076796e-05,0.00015725310367997736,1.6619309462839738e-05,3.5527493309928104e-05
14,1400,-2.1521220332942903e-05,0.0001207504392368719,1.243771748704603e-05,2.7771817258326337e-05
15,1500,-7.9084611570579e-06,0.00010035910963779315,1.0619258318911307e-05,2.2503447326016612e-05
16,1600,-1.5894488569756504e-06,8.472751505905762e-05,9.283429790230002e-06,1.881559001049027e-05
17,1700,-2.3328184397541918e-06,7.270101923495531e-05,8.008963050087914e-06,1.618446913198568e-05
18,1800,-1.2431994491635123e-06,7.192300108727068e-05,7.564349289168604e-06,1.59871833602665e-05
19,1900,6.058718895474158e-07,5.713799691875465e-05,6.673656571365427e-06,1.2583096577145625e-05
20,2000,4.184317958788597e-07,5.229921225691214e-05,6.254467734834179e-06,1.1497194464027416e-05
21,2100,3.106833901256323e-07,4.2380113882245496e-05,5.1321844694030005e-06,9.34573654376436e-06
22,2200,1.5080350124208053e-07,3.3759555662982166e-05,4.753600023832405e-06,7.633455425093416e-06
23,2300,2.9004303314650315e-07,3.236723568988964e-05,4.236575932736741e-06,7.246195309562609e-06
24,2400,1.5664573993490194e-07,3.169695264659822e-05,4.35090532846516e-06,7.338018349400954e-06
25,2500,1.5179584522684308e-07,2.4286335246870294e-05,3.7104291550349444e-06,5.963942385278642e-06
26,2600,5.980030692853688e-08,2.7952351956628263e-05,4.151019311393611e-06,7.143205948523246e-06
27,2700,5.5776830265585886e-08,3.4611093724379316e-05,4.670437647291692e-06,8.990232345240656e-06
28,2800,6.906390126459883e-08,2.3404623789247125e-05,3.7704808164562564e-06,6.815038886998082e-06
29,2900,5.581650697195073e-08,5.600071744993329e-05,5.3047660912852734e-06,1.3038013094046619e-05
30,3000,-6.30473593332681e-08,0.0001467775146011263,1.0237701644655317e-05,3.336947338539176e-05
31,3100,3.143308191511096e-08,0.00067864079028368,3.9645783544983715e-05,0.00015501913730986416
32,3200,-6.275966057955884e-08,0.0020839418284595013,0.00011634838301688433,0.00047721187002025545
33,3300,-6.303558564013656e-08,6.162564386613667e-05,3.7292379602149595e-06,1.4044865565665532e-05
34,3400,-4.226787808647714e-08,5.503165812115185e-05,3.3461794828326674e-06,1.2538256669358816e-05
35,3500,-5.950806780674611e-08,4.9794165533967316e-05,3.0437697660090635e-06,1.1341489880578592e-05
36,3600,-4.4599950399515365e-08,4.5237546146381646e-05,2.7793053050118033e-06,1.0300394933437929e-05
37,3700,3.0851161625378154e-08,3.577897587092593e-05,2.2129095214040717e-06,8.143301784002688e-06
38,3800,-5.841346961688032e-08,3.107696829829365e-05,1.9600695395638468e-06,7.065092631819425e-06
39,3900,2.159003109625246e-08,2.4520537408534437e-05,1.5886980690993369e-06,5.565520950767677e-06
40,4000,-1.1542918620932596e-08,2.1860112610738724e-05,1.4544446003128542e-06,4.953841198584996e-06
41,4100,-2.16041851075488e-08,1.8110715245711617e-05,1.2078789950464852e-06,4.1035627873498015e-06
42,4200,9.78441105914385e-10,1.5424082448589616e-05,1.0556292409091839e-06,3.4892616440629354e-06
43,4300,-2.1004961325843396e-08,1.3591999959317036e-05,9.513843224340235e-07,3.0708586109540192e-06
44,4400,-2.0783240017863136e-08,1.2903014066978358e-05,8.930842909649073e-07,2.9168986657168716e-06
45,4500,-4.014273002894697e-08,1.0458872566232458e-05,7.602590130773024e-07,2.357694484089734e-06
46,4600,-9.000231671052461e-09,8.514092769473791e-06,6.443526672228472e-07,1.9147032617183868e-06
47,4700,-1.440107322281392e-08,7.462047506123781e-06,5.730701104766922e-07,1.6765636701165931e-06
48,4800,2.7132491808856685e-08,6.597452738787979e-06,5.214616862758703e-07,1.4793431546422653e-06
49,4900,-3.601572728939573e-08,5.112483449920546e-06,4.3550122086344345e-07,1.1426780019974103e-06
50,5000,-6.645694838880445e-08,4.376183824206237e-06,3.8655764456052566e-07,9.772402336238883e-07
